Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,1,3,8.075000e-01,8.075000e-01
2,1,1,1,8.075000e-01,8.075000e-01
3,7,3,1,4.037500e+00,8.075000e-01
4,4,2,1,8.075000e-01,8.075000e-01
5,5,2,2,8.075000e-01,1.615000e+00
6,6,2,3,8.075000e-01,8.075000e-01
7,4,2,1,2.422500e+00,2.422500e+00
8,9,3,3,8.075000e-01,1.615000e+00
9,7,3,1,2.422500e+00,1.615000e+00
10,4,2,1,8.075000e-01,2.422500e+00
11,1,1,1,2.422500e+00,2.422500e+00
12,6,2,3,8.075000e-01,2.422500e+00
13,3,1,3,8.075000e-01,8.075000e-01
14,6,2,3,2.422500e+00,8.075000e-01
15,1,1,1,7.267500e+00,1.615000e+00
16,4,2,1,8.075000e-01,1.615000e+00
17,7,3,1,8.075000e-01,2.422500e+00
18,6,2,3,8.075000e-01,8.075000e-01
19,9,3,3,8.075000e-01,8.075000e-01
20,9,3,3,8.075000e-01,2.422500e+00
21,7,3,1,8.075000e-01,2.422500e+00
22,6,2,3,8.075000e-01,1.615000e+00
23,6,2,3,8.075000e-01,2.422500e+00
24,7,3,1,2.422500e+00,2.422500e+00
25,9,3,3,8.075000e-01,1.615000e+00
26,6,2,3,8.075000e-01,2.422500e+00
27,5,2,2,7.267500e+00,8.075000e-01
28,8,3,2,5.652500e+00,2.422500e+00
29,3,1,3,5.652500e+00,1.615000e+00
30,3,1,3,4.037500e+00,2.422500e+00
31,2,1,2,4.037500e+00,1.615000e+00
32,7,3,1,8.075000e-01,2.422500e+00
33,2,1,2,2.422500e+00,8.075000e-01
34,1,1,1,4.037500e+00,2.422500e+00
35,4,2,1,2.422500e+00,2.422500e+00
36,1,1,1,2.422500e+00,2.422500e+00
37,1,1,1,8.075000e-01,8.075000e-01
38,1,1,1,5.652500e+00,1.615000e+00
39,4,2,1,8.075000e-01,8.075000e-01
40,8,3,2,2.422500e+00,1.615000e+00
41,7,3,1,8.075000e-01,1.615000e+00
42,1,1,1,8.075000e-01,8.075000e-01
43,4,2,1,2.422500e+00,1.615000e+00
44,7,3,1,4.037500e+00,1.615000e+00
45,9,3,3,8.075000e-01,8.075000e-01
46,6,2,3,8.882500e+00,1.615000e+00
47,3,1,3,2.422500e+00,1.615000e+00
48,4,2,1,4.037500e+00,8.075000e-01
49,3,1,3,2.422500e+00,8.075000e-01
50,3,1,3,8.075000e-01,1.615000e+00
51,9,3,3,5.652500e+00,2.422500e+00
52,9,3,3,4.037500e+00,8.075000e-01
53,9,3,3,8.075000e-01,1.615000e+00
54,3,1,3,2.422500e+00,2.422500e+00
