TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,9,3,3,4.037500e+00,2.422500e+00,1.0,0.0,2.4996698e-06,0.010118499,4.0204782,1.0,4.649748,0.6292696,4.750227,4.4932303,9.246039,1.0,9.2461815,9.854762,5.834284,9.854966,13.893975,--
2,2,2,1,2,5.652500e+00,1.615000e+00,1.0,1.0,--,--,13.899248,2.0,14.316269,0.4170208,14.416643,3.8979793,18.315948,5.0,18.316063,18.923435,5.0241866,18.923601,24.577946,--
3,3,1,1,1,8.075000e-01,8.075000e-01,1.0,2.0,--,--,24.57971,1.0,25.21697,0.6372613,25.31732,2.8702388,28.189957,9.0,28.190073,28.797052,4.2173433,28.797201,29.606966,--
4,4,3,1,3,2.422500e+00,1.615000e+00,1.0,3.0,--,--,29.609476,2.0,30.132978,0.5235009,30.233318,3.7914991,34.02697,9.0,34.02708,34.63213,5.0226536,34.632298,37.05671,--
5,5,4,2,1,2.422500e+00,2.422500e+00,1.0,4.0,--,--,37.070335,1.0,38.416847,1.3465127,38.517178,3.7759874,42.29494,7.0,42.29506,42.90107,5.830733,42.90122,45.325928,--
6,6,5,2,2,8.075000e-01,2.422500e+00,1.0,5.0,--,--,45.33621,2.0,45.966305,0.6300965,46.066704,4.4924035,50.56086,5.0,50.56097,51.165634,5.8294244,51.165783,51.975937,--
7,7,3,1,3,8.075000e-01,2.422500e+00,1.0,6.0,--,--,51.97886,1.0,52.716488,0.7376269,52.81682,4.384873,57.203953,3.0,57.204067,57.819027,5.840166,57.81919,58.62858,--
8,8,7,3,1,8.882500e+00,8.075000e-01,1.0,7.0,--,--,58.635963,2.0,59.06628,0.4303176,59.16672,3.0771823,62.246685,3.0,62.24681,62.851955,4.2159915,62.852116,71.73698,--
9,9,4,2,1,8.075000e-01,8.075000e-01,1.0,8.0,--,--,71.748215,1.0,72.89966,1.15144,73.0,2.35606,75.358765,8.0,75.35888,75.96402,4.215806,75.96419,76.77391,--
10,10,1,1,1,8.075000e-01,1.615000e+00,1.0,9.0,--,--,76.77693,2.0,78.43277,1.6558385,78.5331,2.6591616,81.194885,3.0,81.195,81.799576,5.022648,81.79974,82.60989,--
11,11,1,1,1,8.075000e-01,8.075000e-01,1.0,10.0,--,--,82.611694,1.0,83.34962,0.7379206,83.44997,2.7695794,86.221886,7.0,86.22201,86.825676,4.213977,86.825836,87.63502,--
12,12,4,2,1,8.075000e-01,1.615000e+00,1.0,11.0,--,--,87.646095,1.0,88.28301,0.6369164,88.38335,3.6780837,92.06363,9.0,92.06374,92.66841,5.0223155,92.66857,93.4779,--
13,13,8,3,2,2.422500e+00,1.615000e+00,1.0,12.0,--,--,93.48499,1.0,94.93292,1.4479247,95.033264,2.8670752,97.90286,5.0,97.902985,98.50768,5.022689,98.50785,100.93287,--
14,14,7,3,1,8.075000e-01,8.075000e-01,1.0,13.0,--,--,100.93889,2.0,101.36625,0.4273622,101.46661,3.0801377,104.54892,4.0,104.549034,105.15498,4.216098,105.15514,105.96454,--
15,15,3,1,3,2.422500e+00,1.615000e+00,1.0,14.0,--,--,105.967476,1.0,106.59953,0.6320617,106.69989,3.6829383,110.38495,1.0,110.38506,110.990974,5.0235033,110.99114,113.41583,--
16,16,7,3,1,4.037500e+00,8.075000e-01,1.0,15.0,--,--,113.42294,2.0,113.84937,0.4264319,113.949715,3.081068,117.03388,2.0,117.034,117.63991,4.216964,117.64007,121.67985,--
17,17,6,2,3,8.075000e-01,2.422500e+00,1.0,16.0,--,--,121.690834,1.0,122.33277,0.641938,122.43317,4.480562,126.9156,3.0,126.91572,127.52022,5.8293853,127.52039,128.32977,--
18,18,7,3,1,4.037500e+00,2.422500e+00,1.0,17.0,--,--,128.33693,1.0,129.38255,1.0456198,129.4829,4.07688,133.56235,6.0,133.56247,134.17001,5.8330803,134.17017,138.20952,--
19,19,6,2,3,8.075000e-01,2.422500e+00,1.0,18.0,--,--,138.22064,1.0,138.74953,0.5288964,138.84987,4.5936036,143.4455,1.0,143.44562,144.05008,5.8294373,144.05023,144.85983,--
20,20,9,3,3,5.652500e+00,8.075000e-01,1.0,19.0,--,--,144.86711,1.0,146.73244,1.8653207,146.83278,1.6421793,148.47783,1.0,148.47795,149.08195,4.214834,149.0821,154.73683,--
21,21,9,3,3,4.037500e+00,8.075000e-01,1.0,20.0,--,--,154.74326,2.0,155.58276,0.8395185,155.68309,2.6679814,158.35251,8.0,158.35263,158.95583,4.2125707,158.95598,162.9958,--
22,22,6,2,3,4.037500e+00,1.615000e+00,1.0,21.0,--,--,163.00687,1.0,163.63239,0.6255167,163.73274,3.6894834,167.42383,4.0,167.42395,168.02792,5.0210567,168.02808,172.06778,--
23,23,4,2,1,2.422500e+00,8.075000e-01,1.0,22.0,--,--,172.0782,2.0,172.59918,0.5209848,172.69957,2.9865153,175.68779,4.0,175.6879,176.29257,4.2143717,176.29272,178.7172,--
24,24,6,2,3,4.037500e+00,2.422500e+00,1.0,23.0,--,--,178.72845,1.0,179.66588,0.9374223,179.76624,4.1850777,183.9538,3.0,183.9539,184.5646,5.8361487,184.56477,188.60458,--
25,25,5,2,2,8.075000e-01,8.075000e-01,1.0,24.0,--,--,188.61475,2.0,189.24927,0.6345298,189.34962,2.87297,192.22444,5.0,192.22456,192.83089,4.2161374,192.83104,193.64041,--
26,26,7,3,1,8.075000e-01,1.615000e+00,1.0,25.0,--,--,193.64754,1.0,194.38239,0.7348524,194.48273,3.5801475,198.06476,6.0,198.06488,198.66956,5.022018,198.66971,199.47984,--
27,27,6,2,3,8.075000e-01,2.422500e+00,1.0,26.0,--,--,199.49092,2.0,200.01585,0.524924,200.11623,4.597576,204.71571,8.0,204.71584,205.3285,5.837579,205.32866,206.13783,--
28,28,2,1,2,2.422500e+00,1.615000e+00,1.0,27.0,--,--,206.1409,1.0,206.98236,0.8414611,207.0827,3.4735389,210.55876,5.0,210.55888,211.16388,5.022982,211.16405,213.58894,--
