TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,8,2,3,0,2,7.267500e+00,1.0,0.0,4.0225725,1.0,8,6.032819,high,2.0102465,0.9897536,6.5523624,10.773937,10.775914,12.778937,8.756365,12.779342,20.040789
2,2,0,8,2,1,5.000000e-01,2.422500e+00,1.0,1.0,20.161304,2.0,8,21.616709,high,1.4554046,1.5445954,22.136251,25.411053,25.413006,27.414705,7.2534,27.415112,29.834688
3,3,2,4,3,0,5.000000e-01,5.652500e+00,1.0,2.0,29.85241,2.0,4,31.43301,high,1.5806009,1.4193991,31.952187,35.10191,35.10393,37.106983,7.2545743,37.107315,42.75492
4,4,2,4,2,1,3.500000e+00,8.075000e-01,1.0,3.0,42.869587,2.0,4,44.349827,high,1.4802396,1.5197604,44.868427,51.1199,51.122246,53.12591,10.256323,53.126244,53.9269
5,5,8,2,2,0,5.000000e-01,2.422500e+00,1.0,4.0,54.050125,1.0,8,55.266247,high,1.216121,1.783879,55.78617,59.30092,59.30274,61.305557,7.255434,61.305912,63.722916
6,6,4,0,1,1,5.000000e-01,8.075000e-01,1.0,5.0,63.72871,1.0,4,65.266365,high,1.5376598,1.4623402,65.78521,68.979904,68.98198,70.98495,7.2562356,70.985275,71.78688
7,7,0,4,2,0,5.000000e-01,8.075000e-01,1.0,6.0,71.90863,2.0,4,73.26607,high,1.3574373,1.6425627,73.78629,77.1586,77.1606,79.163,7.254367,79.16334,79.96689
8,8,4,8,1,0,5.000000e-01,8.075000e-01,1.0,7.0,79.97267,1.0,4,81.666565,low,1.6938986,1.3061014,82.18529,85.22288,85.224915,87.22786,7.2551894,87.22819,88.030914
9,9,0,8,1,1,2,2.422500e+00,1.0,8.0,88.034515,2.0,8,89.68247,high,1.6479582,1.3520418,90.20194,94.78465,94.78676,96.78929,8.754774,96.78972,99.206894
10,10,4,2,1,1,5.000000e-01,8.075000e-01,1.0,9.0,99.21154,2.0,2,100.71549,low,1.5039587,1.4960413,101.236206,104.461555,104.461914,106.46495,7.2534156,106.465324,107.26995
11,11,4,2,2,0,5.000000e-01,4.037500e+00,1.0,10.0,107.38442,1.0,4,108.88226,high,1.4978406,1.5021594,109.4019,112.634384,112.63896,114.64089,7.2564697,114.64123,118.67224
12,12,2,0,2,0,5.000000e-01,8.075000e-01,1.0,11.0,118.78852,1.0,2,120.38214,high,1.5936252,1.4063748,120.90167,124.03886,124.03925,126.041145,7.2526293,126.04148,126.845856
13,13,2,4,3,1,2,7.267500e+00,1.0,12.0,126.859055,2.0,4,128.299,high,1.4399441,1.5600559,128.81915,133.60873,133.61072,135.61343,8.754372,135.61377,142.87785
14,14,4,8,3,1,2,2.422500e+00,1.0,13.0,142.89384,2.0,8,144.31624,high,1.4224008,1.5775992,144.83543,149.64485,149.64522,151.64758,8.753748,151.64792,154.06786
15,15,2,8,3,0,2,4.037500e+00,1.0,14.0,154.07974,2.0,8,155.48288,high,1.4031487,1.5968513,156.00232,160.82994,160.8318,162.8347,8.754964,162.83504,166.86783
16,16,8,0,3,1,2,2.422500e+00,1.0,15.0,166.88075,1.0,8,168.18321,high,1.3024603,1.6975397,168.70319,173.63083,173.63324,175.6355,8.75474,175.63583,178.05383
17,17,8,0,1,0,5.000000e-01,8.075000e-01,1.0,16.0,178.0569,1.0,8,179.91544,high,1.8585346,1.1414654,180.43547,183.30782,183.30981,185.31247,7.2555666,185.31282,186.11488
18,18,2,0,2,1,5.000000e-01,8.075000e-01,1.0,17.0,186.23137,1.0,2,187.78258,high,1.5512091,1.4487909,188.30316,191.48204,191.48405,193.48647,7.2550945,193.48682,194.28984
19,19,0,4,1,0,5.000000e-01,8.075000e-01,1.0,18.0,194.29837,2.0,4,195.8161,high,1.5177283,1.4822717,196.33485,199.54846,199.5505,201.55382,7.255445,201.55415,202.35567
20,20,8,2,2,1,2,5.652500e+00,1.0,19.0,202.47493,2.0,2,204.1494,low,1.6744659,1.3255341,204.66829,209.2261,209.22806,211.23082,8.755889,211.23122,216.87782
21,21,2,8,3,1,5.000000e-01,4.037500e+00,1.0,20.0,216.89452,2.0,8,218.2323,high,1.3377894,1.6622106,218.75237,222.14479,222.1468,224.14926,7.2547574,224.14961,228.1818
22,22,8,4,1,1,2,2.422500e+00,1.0,21.0,228.1876,1.0,8,229.38393,high,1.196324,1.803676,229.90118,234.93784,234.9398,236.94153,8.753923,236.94186,239.35995
23,23,0,8,2,0,5.000000e-01,8.075000e-01,1.0,22.0,239.47723,1.0,0,242.06555,low,2.5883193,0.4116807,242.58519,244.72768,244.72778,246.72984,7.252614,246.73018,247.53494
24,24,8,2,3,1,5.000000e-01,8.075000e-01,1.0,23.0,247.549,1.0,8,248.99847,high,1.4494647,1.5505353,249.51929,252.80023,252.80225,254.80482,7.2558174,254.80516,255.6065
25,25,8,4,3,0,5.000000e-01,2.422500e+00,1.0,24.0,255.61836,1.0,8,256.9493,high,1.3309425,1.6690575,257.4719,260.86877,260.87085,262.8728,7.254428,262.8731,265.2918
26,26,4,0,2,1,5.000000e-01,8.075000e-01,1.0,25.0,265.4094,1.0,4,267.0485,high,1.6391076,1.3608924,267.5683,270.6598,270.6619,272.66455,7.255147,272.6649,273.4669
27,27,2,8,1,0,5.000000e-01,8.075000e-01,1.0,26.0,273.47266,1.0,2,275.08185,low,1.6092063,1.3907937,275.60327,278.72275,278.72726,280.72943,7.256778,280.72977,281.53076
28,28,4,0,3,1,3.500000e+00,2.422500e+00,1.0,27.0,281.5448,1.0,4,283.09937,high,1.5545589,1.4454411,283.61942,289.79578,289.79785,291.8004,10.255607,291.80075,294.2169
29,29,0,2,3,0,2,8.075000e-01,1.0,28.0,294.22986,2.0,2,295.59875,high,1.3689125,1.6310875,296.11908,300.9817,300.98343,302.9859,8.756059,302.98627,303.78775
30,30,2,8,1,0,5.000000e-01,8.075000e-01,1.0,29.0,303.79382,2.0,8,305.3985,high,1.6046946,1.3953054,305.9188,309.0436,309.04562,311.04797,7.2541494,311.04828,311.85178
31,31,0,2,1,1,2,4.037500e+00,1.0,30.0,311.8564,2.0,2,313.4492,high,1.5927753,1.4072247,313.96817,318.60645,318.60855,320.61182,8.755393,320.61218,324.64377
32,32,8,0,3,0,5.000000e-01,8.075000e-01,1.0,31.0,324.65817,1.0,8,325.86588,high,1.2077075,1.7922925,326.38614,329.90845,329.91028,331.9119,7.2537303,331.91223,332.71564
33,33,0,4,3,0,3.500000e+00,2.422500e+00,1.0,32.0,332.72867,2.0,4,334.26498,high,1.5363278,1.4636722,334.78525,340.97882,340.97916,342.98175,10.25307,342.98206,345.40143
34,34,8,2,2,0,5.000000e-01,2.422500e+00,1.0,33.0,345.5204,1.0,8,346.7819,high,1.2615113,1.7384887,347.30417,350.77042,350.77225,352.77386,7.253493,352.7742,355.19275
35,35,8,4,2,1,5.000000e-01,8.075000e-01,1.0,34.0,355.30963,1.0,8,356.71573,high,1.4061018,1.5938982,357.23602,360.55972,360.5617,362.56436,7.254739,362.56476,363.36777
36,36,8,2,1,1,5.000000e-01,8.075000e-01,1.0,35.0,363.37234,2.0,2,364.94904,low,1.5766855,1.4233145,365.46906,368.62238,368.6244,370.62674,7.254395,370.62708,371.42938
37,37,4,8,2,0,2,2.422500e+00,1.0,36.0,371.54947,1.0,4,372.732,low,1.1825182,1.8174818,373.25214,378.30005,378.30185,380.30472,8.755256,380.30505,382.72272
