Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,8,3,1,2,2.422500e+00
2,0,2,3,1,5.000000e-01,8.075000e-01
3,8,0,3,1,2,8.075000e-01
4,2,8,2,0,2,8.075000e-01
5,0,4,1,1,5.000000e-01,8.075000e-01
6,8,4,1,0,3.500000e+00,8.075000e-01
7,4,0,3,1,5.000000e-01,8.882500e+00
8,8,4,2,1,2,5.652500e+00
9,0,4,2,1,5.000000e-01,2.422500e+00
10,2,4,3,0,2,4.037500e+00
11,0,4,1,0,5.000000e-01,2.422500e+00
12,8,0,2,1,5.000000e-01,2.422500e+00
13,2,4,2,1,5.000000e-01,8.075000e-01
14,8,4,3,0,2,8.075000e-01
15,8,2,2,1,2,7.267500e+00
16,4,8,1,1,2,2.422500e+00
17,4,2,1,0,5.000000e-01,8.075000e-01
18,2,4,1,1,5.000000e-01,8.075000e-01
19,0,2,1,1,5.000000e-01,5.652500e+00
20,2,8,2,0,2,8.075000e-01
21,4,8,2,0,5.000000e-01,8.075000e-01
22,2,0,1,0,5.000000e-01,2.422500e+00
23,2,8,3,0,2,4.037500e+00
24,2,4,3,1,2,2.422500e+00
25,8,0,1,0,5.000000e-01,2.422500e+00
26,0,8,3,0,5.000000e-01,8.075000e-01
27,2,8,3,1,5.000000e-01,2.422500e+00
28,8,2,1,1,2,8.075000e-01
29,4,2,2,0,5.000000e-01,2.422500e+00
30,8,2,2,1,2,8.075000e-01
31,8,2,1,0,3.500000e+00,4.037500e+00
32,0,2,3,0,3.500000e+00,4.037500e+00
33,0,2,2,1,5.000000e-01,4.037500e+00
34,0,8,1,1,5.000000e-01,8.075000e-01
35,8,0,2,0,5.000000e-01,7.267500e+00
36,0,4,3,0,5.000000e-01,8.075000e-01
37,4,0,2,0,2,8.075000e-01
38,2,8,3,0,2,8.075000e-01
39,2,0,2,0,5.000000e-01,8.075000e-01
40,8,2,1,1,5.000000e-01,8.075000e-01
41,8,2,1,0,3.500000e+00,2.422500e+00
42,8,4,3,1,5.000000e-01,8.075000e-01
