TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,2,16,1.365,1,1,0,1.0,0.0,4.5074463,5.4959326,5.5129786,5.5130877,6.513551,6.513719,2.0,1.9993571,8.513076,10.279843,3.7667665,10.280613,11.646716
2,2,2,16,0.5575,1,0,4,1.0,1.0,12.156774,13.145931,13.162996,13.16307,14.162312,14.162456,1.0,0.9667184,15.129173,17.92987,3.7679622,17.930527,18.49096
3,3,2,16,0.5575,1,2,0,1.0,2.0,18.990103,19.979168,19.996336,19.996414,20.995846,20.995985,1.0,1.1666741,22.162659,24.762735,3.7672863,24.763376,25.32235
4,4,2,32,1.365,1,16,0,1.0,3.0,25.823372,26.812523,26.829597,26.829672,27.83025,27.83039,1.0,1.0494158,28.879807,31.596775,3.76694,31.597437,32.96336
5,5,3,16,0.5575,1,0,8,1.0,4.0,33.54738,34.46296,34.478928,34.479004,35.478912,35.479057,2.0,1.3671806,36.846237,39.246128,3.7676377,39.246834,39.805435
6,6,2,16,1.365,1,0,4,1.0,5.0,40.306625,41.295776,41.31285,41.312927,42.313732,42.313877,2.0,1.1992071,43.513084,46.07985,3.7665062,46.080486,47.44734
7,7,3,32,2.98,1,2,0,1.0,6.0,48.038765,48.94628,48.962517,48.962593,49.962288,49.962433,2.0,1.3832859,51.34572,53.729736,3.7678385,53.730377,56.712048
8,8,3,16,2.98,1,0,2,1.0,7.0,57.29793,58.196236,58.212914,58.21299,59.212875,59.213017,2.0,1.3163669,60.529385,62.979862,3.76738,62.980503,65.96159
9,9,3,32,1.365,1,8,0,1.0,8.0,66.54771,67.446266,67.46276,67.46284,68.462715,68.46286,1.0,1.0664656,69.52933,72.22965,3.7673514,72.23034,73.597725
10,10,3,16,1.365,1,0,1,1.0,9.0,74.1744,75.09578,75.11292,75.113,76.112816,76.11296,2.0,1.6333878,77.74635,79.87985,3.7674208,79.88049,81.24726
11,11,2,16,2.98,1,0,1,1.0,10.0,81.75676,82.74574,82.76276,82.76283,83.76227,83.762405,1.0,0.7338734,84.496284,87.52924,3.767398,87.52993,90.51259
12,12,3,32,6.21,1,3,0,1.0,11.0,91.10392,92.012825,92.02906,92.02914,93.02888,93.029015,1.0,0.9835686,94.01258,96.796135,3.7676911,96.79683,103.00893
13,13,3,32,0.5575,1,2,0,1.0,12.0,103.593704,104.4962,104.51246,104.51259,105.512764,105.51291,1.0,0.5500533,106.062965,109.279366,3.766998,109.280014,109.83956
14,14,2,32,1.365,1,2,0,1.0,13.0,110.34013,111.32896,111.346245,111.34632,112.34655,112.346695,1.0,0.9329289,113.279625,116.113815,3.7676804,116.1145,117.48179
15,15,2,32,4.595,1,0,3,1.0,14.0,117.99,118.979,118.996056,118.99617,119.99581,119.995964,2.0,2.8502688,122.84623,123.761826,3.7664034,123.762474,128.35826
16,16,2,32,0.5575,1,0,8,1.0,15.0,128.85622,129.84564,129.86264,129.86272,130.86275,130.86288,2.0,1.1163646,131.97925,134.63055,3.7682064,134.6312,135.19069
17,17,3,16,4.595,1,0,4,1.0,16.0,135.69228,136.67976,136.69608,136.69615,137.696,137.69614,2.0,0.8664553,138.56259,141.46272,3.7671046,141.46335,146.06006
18,18,3,16,1.365,1,2,0,1.0,17.0,146.64359,147.54602,147.5622,147.56227,148.56256,148.56271,1.0,1.1828967,149.7456,152.3299,3.7677324,152.33057,153.69655
19,19,2,16,0.5575,1,0,1,1.0,18.0,154.20645,155.19562,155.21259,155.21266,156.21193,156.21207,1.0,1.384291,157.59636,159.97882,3.7672937,159.97946,160.53842
20,20,3,16,0.5575,1,2,0,1.0,19.0,161.11882,162.02931,162.0456,162.04567,163.04587,163.046,2.0,3.1002927,166.1463,166.81194,3.7664914,166.81262,167.37279
21,21,2,32,0.5575,1,0,16,1.0,20.0,167.87271,168.86215,168.87936,168.87949,169.87886,169.879,2.0,1.3839335,171.26292,173.64627,3.7678175,173.64693,174.2076
22,22,3,16,0.5575,1,1,0,1.0,21.0,174.81401,175.69551,175.7126,175.71268,176.71269,176.71283,1.0,1.399897,178.11273,180.47983,3.767528,180.48047,181.04037
23,23,3,16,1.365,1,0,1,1.0,22.0,181.62593,182.52913,182.54526,182.54533,183.54456,183.5447,1.0,1.2678055,184.8125,187.31172,3.7675784,187.31238,188.67809
24,24,3,16,0.5575,1,0,4,1.0,23.0,189.2676,190.16257,190.17929,190.17938,191.1801,191.18024,999.0,999.0,999.0,194.44553,3.7819264,194.96231,195.52179
25,25,2,16,0.5575,1,0,8,1.0,24.0,196.02298,197.01213,197.02934,197.02942,198.02875,198.0289,2.0,0.8507882,198.87968,201.79523,3.7668967,201.79591,202.3546
26,26,2,16,4.595,1,0,2,1.0,25.0,202.85638,203.84546,203.86246,203.86253,204.86235,204.8625,2.0,0.9335505,205.79605,208.62907,3.7671204,208.62973,213.2258
27,27,3,32,1.365,1,0,16,1.0,26.0,213.7849,214.71205,214.72937,214.72949,215.72948,215.72963,2.0,0.9500637,216.67969,219.49484,3.7658186,219.49556,220.8618
28,28,3,16,0.5575,1,0,4,1.0,27.0,221.43196,222.34564,222.36209,222.36217,223.36177,223.36191,2.0,1.1675385,224.52945,227.12776,3.7664802,227.1285,227.6877
29,29,2,32,0.5575,1,0,16,1.0,28.0,228.1896,229.17879,229.19589,229.19597,230.19548,230.19562,2.0,1.3337165,231.52934,233.96379,3.7687285,233.96445,234.52356
30,30,3,32,2.98,1,2,0,1.0,29.0,235.12227,236.01251,236.02922,236.0293,237.02982,237.02995,1.0,1.4494444,238.4794,240.79678,3.76736,240.79744,243.77869
31,31,2,16,0.5575,1,0,4,1.0,30.0,244.27287,245.26204,245.27919,245.27928,246.27972,246.27988,2.0,0.9826086,247.26248,250.04695,3.7676127,250.0476,250.60657
32,32,2,32,0.5575,1,8,0,1.0,31.0,251.10617,252.09534,252.11241,252.11249,253.11179,253.11192,1.0,1.0839226,254.19585,256.879,3.767598,256.87964,257.43973
33,33,2,16,0.5575,1,0,8,1.0,32.0,257.93976,258.92868,258.94562,258.9457,259.94513,259.94528,1.0,1.5007268,261.446,263.7118,3.7670443,263.71243,264.27176
34,34,3,16,1.365,1,0,2,1.0,33.0,264.80612,265.76245,265.77847,265.77856,266.77838,266.7785,1.0,1.2336367,268.01215,270.546,3.768033,270.54666,271.91373
35,35,2,16,1.365,1,1,0,1.0,34.0,272.42303,273.41193,273.4291,273.4292,274.4298,274.42996,2.0,1.065687,275.49564,278.1968,3.7674203,278.19748,279.5634
36,36,3,32,0.5575,1,16,0,1.0,35.0,280.14444,281.0623,281.07837,281.07846,282.07858,282.07874,1.0,1.0669516,283.1457,285.84555,3.767378,285.84622,286.40573
37,37,2,32,2.98,1,0,16,1.0,36.0,286.90622,287.89517,287.91235,287.9124,288.9127,288.91284,1.0,2.8997703,291.81262,292.67975,3.7675018,292.68045,295.6615
38,38,2,16,0.5575,1,0,2,1.0,37.0,296.15607,297.14514,297.16248,297.16254,298.16226,298.1624,2.0,1.4663248,299.62872,301.9298,3.7679372,301.93045,302.49023
39,39,3,16,1.365,1,4,0,1.0,38.0,303.06577,303.97903,303.99518,303.99527,304.99573,304.99588,1.0,1.0666814,306.06256,308.76248,3.7671459,308.76312,310.1291
40,40,3,16,0.5575,1,0,2,1.0,39.0,310.71063,311.62885,311.6451,311.64517,312.6448,312.64496,2.0,1.0338206,313.67877,316.4128,3.7683904,316.41345,316.97253
41,41,3,32,2.98,1,16,0,1.0,40.0,317.58997,318.46188,318.47897,318.47903,319.47903,319.4792,999.0,999.0,999.0,322.74512,3.7827387,323.26205,326.2434
42,42,2,32,0.5575,1,0,3,1.0,41.0,326.73944,327.7285,327.7455,327.74567,328.74622,328.74637,2.0,0.882892,329.62924,332.51382,3.768005,332.51447,333.07474
43,43,3,32,0.5575,1,0,8,1.0,42.0,333.69055,334.56183,334.579,334.57907,335.57977,335.57993,2.0,0.7153548,336.29526,339.3468,3.7674246,339.34744,339.90756
44,44,2,16,2.98,1,2,0,1.0,43.0,340.4061,341.39505,341.41217,341.41226,342.4115,342.41162,1.0,0.9840397,343.39566,346.1777,3.7666328,346.17838,349.16013
45,45,3,32,0.5575,1,16,0,1.0,44.0,349.7278,350.64548,350.66177,350.66187,351.66275,351.6629,1.0,1.115837,352.77875,355.4298,3.7674737,355.43048,355.9902
46,46,2,16,0.5575,1,0,1,1.0,45.0,356.48935,357.4784,357.4955,357.49557,358.4949,358.49503,2.0,1.2339675,359.729,362.26218,3.767694,362.26285,362.82242
47,47,3,32,1.365,1,0,16,1.0,46.0,363.3772,364.31174,364.32867,364.32874,365.32812,365.32828,2.0,1.0169069,366.34518,369.0968,3.7690847,369.09747,370.46338
48,48,2,32,0.5575,1,8,0,1.0,47.0,370.97272,371.96164,371.97876,371.97882,372.9788,372.97894,2.0,0.5834197,373.56235,376.74582,3.7674215,376.74646,377.306
