nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,0.5575,1,2,0
2,2,32,0.5575,1,2,0
3,3,32,0.5575,1,2,0
4,3,32,0.5575,1,16,0
5,3,32,1.365,1,3,0
6,3,16,4.595,1,0,4
7,3,32,1.365,1,2,0
8,2,32,0.5575,1,3,0
9,3,32,0.5575,1,8,0
10,2,32,0.5575,1,16,0
11,3,16,0.5575,1,4,0
12,3,16,0.5575,1,0,1
13,3,32,2.98,1,8,0
14,3,32,0.5575,1,0,3
15,3,16,0.5575,1,8,0
16,2,16,1.365,1,2,0
17,3,16,0.5575,1,0,4
18,2,32,4.595,1,0,3
19,2,32,6.21,1,2,0
20,2,32,2.98,1,0,8
21,2,32,1.365,1,2,0
22,3,16,1.365,1,0,2
23,3,16,1.365,1,0,2
24,3,16,0.5575,1,0,1
25,3,16,0.5575,1,2,0
26,3,16,0.5575,1,8,0
27,3,32,2.98,1,3,0
28,2,16,0.5575,1,8,0
29,2,16,1.365,1,2,0
30,2,32,4.595,1,16,0
31,3,16,0.5575,1,4,0
32,3,32,2.98,1,16,0
33,2,16,1.365,1,8,0
34,2,32,2.98,1,16,0
35,2,16,0.5575,1,1,0
36,2,16,0.5575,1,4,0
37,2,16,2.98,1,2,0
38,3,16,0.5575,1,1,0
39,2,16,1.365,1,4,0
40,3,32,1.365,1,2,0
41,2,16,0.5575,1,4,0
42,2,32,2.98,1,8,0
43,2,16,1.365,1,0,1
44,2,32,0.5575,1,0,8
45,3,16,1.365,1,8,0
46,3,32,0.5575,1,16,0
47,2,32,1.365,1,16,0
48,2,32,0.5575,1,0,2
