onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.534260	2	cue_social	n/a	32	n/a	n/a
4.534260	2	cue_social_high	n/a	32	n/a	n/a
6.519072	2.499743	dec_social_high	2.499743	32	n/a	16
6.519072	2.499743	dec_social_high_accept	2.499743	32	accept	16
13.821568	2	cue_social	n/a	32	n/a	n/a
13.821568	2	cue_social_high	n/a	32	n/a	n/a
15.785052	3.766946	missed_trial	n/a	32.000000	n/a	n/a
20.628262	2	cue_nonsocial	n/a	16	n/a	n/a
20.628262	2	cue_nonsocial_low	n/a	16	n/a	n/a
22.635061	1.649997	dec_nonsocial_low	1.649997	16	n/a	8
22.635061	1.649997	dec_nonsocial_low_accept	1.649997	16	accept	8
27.537336	2	cue_social	n/a	16	n/a	n/a
27.537336	2	cue_social_low	n/a	16	n/a	n/a
29.467700	0.867383	dec_social_low	0.867383	16	n/a	2
29.467700	0.867383	dec_social_low_reject	0.867383	16	reject	2
34.333570	2	cue_social	n/a	32	n/a	n/a
34.333570	2	cue_social_high	n/a	32	n/a	n/a
36.301003	1.101295	dec_social_high	1.101295	32	n/a	16
36.301003	1.101295	dec_social_high_accept	1.101295	32	accept	16
41.927864	2	cue_nonsocial	n/a	32	n/a	n/a
41.927864	2	cue_nonsocial_high	n/a	32	n/a	n/a
43.935146	2.966510	dec_nonsocial_high	2.966510	32	n/a	8
43.935146	2.966510	dec_nonsocial_high_accept	2.966510	32	accept	8
52.835526	2	cue_social	n/a	32	n/a	n/a
52.835526	2	cue_social_high	n/a	32	n/a	n/a
54.802135	1.333066	dec_social_high	1.333066	32	n/a	16
54.802135	1.333066	dec_social_high_accept	1.333066	32	accept	16
59.627903	2	cue_nonsocial	n/a	16	n/a	n/a
59.627903	2	cue_nonsocial_low	n/a	16	n/a	n/a
61.635860	1.865803	dec_nonsocial_low	1.865803	16	n/a	2
61.635860	1.865803	dec_nonsocial_low_reject	1.865803	16	reject	2
68.894485	2	cue_nonsocial	n/a	32	n/a	n/a
68.894485	2	cue_nonsocial_high	n/a	32	n/a	n/a
70.901024	1.317020	dec_nonsocial_high	1.317020	32	n/a	2
70.901024	1.317020	dec_nonsocial_high_reject	1.317020	32	reject	2
75.753260	2	cue_social	n/a	32	n/a	n/a
75.753260	2	cue_social_high	n/a	32	n/a	n/a
77.734100	1.533897	dec_social_high	1.533897	32	n/a	3
77.734100	1.533897	dec_social_high_accept	1.533897	32	accept	3
84.977730	2	cue_nonsocial	n/a	16	n/a	n/a
84.977730	2	cue_nonsocial_low	n/a	16	n/a	n/a
86.985160	1.633635	dec_nonsocial_low	1.633635	16	n/a	2
86.985160	1.633635	dec_nonsocial_low_reject	1.633635	16	reject	2
91.811180	2	cue_nonsocial	n/a	16	n/a	n/a
91.811180	2	cue_nonsocial_low	n/a	16	n/a	n/a
93.819060	1.482540	dec_nonsocial_low	1.482540	16	n/a	8
93.819060	1.482540	dec_nonsocial_low_accept	1.482540	16	accept	8
98.679850	2	cue_social	n/a	32	n/a	n/a
98.679850	2	cue_social_high	n/a	32	n/a	n/a
100.651370	2.316768	dec_social_high	2.316768	32	n/a	2
100.651370	2.316768	dec_social_high_reject	2.316768	32	reject	2
107.894330	2	cue_nonsocial	n/a	32	n/a	n/a
107.894330	2	cue_nonsocial_high	n/a	32	n/a	n/a
109.901410	2.533964	dec_nonsocial_high	2.533964	32	n/a	2
109.901410	2.533964	dec_nonsocial_high_reject	2.533964	32	reject	2
115.544390	2	cue_nonsocial	n/a	32	n/a	n/a
115.544390	2	cue_nonsocial_high	n/a	32	n/a	n/a
117.551330	1.633914	dec_nonsocial_high	1.633914	32	n/a	16
117.551330	1.633914	dec_nonsocial_high_accept	1.633914	32	accept	16
122.411470	2	cue_social	n/a	32	n/a	n/a
122.411470	2	cue_social_high	n/a	32	n/a	n/a
124.384130	2.083650	dec_social_high	2.083650	32	n/a	8
124.384130	2.083650	dec_social_high_accept	2.083650	32	accept	8
130.062580	2	cue_social	n/a	16	n/a	n/a
130.062580	2	cue_social_low	n/a	16	n/a	n/a
132.034960	2.300107	dec_social_low	2.300107	16	n/a	4
132.034960	2.300107	dec_social_low_reject	2.300107	16	reject	4
137.727870	2	cue_social	n/a	32	n/a	n/a
137.727870	2	cue_social_high	n/a	32	n/a	n/a
139.685210	1.633396	dec_social_high	1.633396	32	n/a	16
139.685210	1.633396	dec_social_high_accept	1.633396	32	accept	16
144.510860	2	cue_nonsocial	n/a	32	n/a	n/a
144.510860	2	cue_nonsocial_high	n/a	32	n/a	n/a
146.518020	1.550193	dec_nonsocial_high	1.550193	32	n/a	2
146.518020	1.550193	dec_nonsocial_high_reject	1.550193	32	reject	2
151.344400	2	cue_nonsocial	n/a	32	n/a	n/a
151.344400	2	cue_nonsocial_high	n/a	32	n/a	n/a
153.351990	1.999435	dec_nonsocial_high	1.999435	32	n/a	8
153.351990	1.999435	dec_nonsocial_high_accept	1.999435	32	accept	8
158.177600	2	cue_nonsocial	n/a	32	n/a	n/a
158.177600	2	cue_nonsocial_high	n/a	32	n/a	n/a
160.185040	1.566009	dec_nonsocial_high	1.566009	32	n/a	3
160.185040	1.566009	dec_nonsocial_high_reject	1.566009	32	reject	3
169.098220	2	cue_social	n/a	16	n/a	n/a
169.098220	2	cue_social_low	n/a	16	n/a	n/a
171.051820	1.500068	dec_social_low	1.500068	16	n/a	2
171.051820	1.500068	dec_social_low_reject	1.500068	16	reject	2
176.739700	2	cue_social	n/a	16	n/a	n/a
176.739700	2	cue_social_low	n/a	16	n/a	n/a
178.685850	2.099292	dec_social_low	2.099292	16	n/a	8
178.685850	2.099292	dec_social_low_accept	2.099292	16	accept	8
183.543600	2	cue_social	n/a	32	n/a	n/a
183.543600	2	cue_social_high	n/a	32	n/a	n/a
185.518170	1.533092	dec_social_high	1.533092	32	n/a	2
185.518170	1.533092	dec_social_high_reject	1.533092	32	reject	2
191.160870	2	cue_nonsocial	n/a	16	n/a	n/a
191.160870	2	cue_nonsocial_low	n/a	16	n/a	n/a
193.169100	3.766946	missed_trial	n/a	16.000000	n/a	n/a
198.043990	2	cue_social	n/a	16	n/a	n/a
198.043990	2	cue_social_low	n/a	16	n/a	n/a
200.018250	1.582992	dec_social_low	1.582992	16	n/a	1
200.018250	1.582992	dec_social_low_reject	1.582992	16	reject	1
205.660920	2	cue_nonsocial	n/a	32	n/a	n/a
205.660920	2	cue_nonsocial_high	n/a	32	n/a	n/a
207.668080	1.683774	dec_nonsocial_high	1.683774	32	n/a	16
207.668080	1.683774	dec_nonsocial_high_accept	1.683774	32	accept	16
212.515530	2	cue_social	n/a	16	n/a	n/a
212.515530	2	cue_social_low	n/a	16	n/a	n/a
214.501080	1.866524	dec_social_low	1.866524	16	n/a	2
214.501080	1.866524	dec_social_low_reject	1.866524	16	reject	2
219.327320	2	cue_nonsocial	n/a	16	n/a	n/a
219.327320	2	cue_nonsocial_low	n/a	16	n/a	n/a
221.334670	1.766631	dec_nonsocial_low	1.766631	16	n/a	2
221.334670	1.766631	dec_nonsocial_low_reject	1.766631	16	reject	2
231.810940	2	cue_nonsocial	n/a	16	n/a	n/a
231.810940	2	cue_nonsocial_low	n/a	16	n/a	n/a
233.818940	2.415433	dec_nonsocial_low	2.415433	16	n/a	1
233.818940	2.415433	dec_nonsocial_low_reject	2.415433	16	reject	1
241.077360	2	cue_nonsocial	n/a	32	n/a	n/a
241.077360	2	cue_nonsocial_high	n/a	32	n/a	n/a
243.085190	2.149872	dec_nonsocial_high	2.149872	32	n/a	2
243.085190	2.149872	dec_nonsocial_high_reject	2.149872	32	reject	2
248.727430	2	cue_nonsocial	n/a	16	n/a	n/a
248.727430	2	cue_nonsocial_low	n/a	16	n/a	n/a
250.733900	2.334020	dec_nonsocial_low	2.334020	16	n/a	2
250.733900	2.334020	dec_nonsocial_low_reject	2.334020	16	reject	2
255.561330	2	cue_nonsocial	n/a	32	n/a	n/a
255.561330	2	cue_nonsocial_high	n/a	32	n/a	n/a
257.567170	2.101052	dec_nonsocial_high	2.101052	32	n/a	3
257.567170	2.101052	dec_nonsocial_high_reject	2.101052	32	reject	3
262.394700	2	cue_nonsocial	n/a	32	n/a	n/a
262.394700	2	cue_nonsocial_high	n/a	32	n/a	n/a
264.401280	2.066252	dec_nonsocial_high	2.066252	32	n/a	2
264.401280	2.066252	dec_nonsocial_high_reject	2.066252	32	reject	2
270.058470	2	cue_social	n/a	32	n/a	n/a
270.058470	2	cue_social_high	n/a	32	n/a	n/a
272.051240	2.050027	dec_social_high	2.050027	32	n/a	2
272.051240	2.050027	dec_social_high_reject	2.050027	32	reject	2
276.877440	2	cue_nonsocial	n/a	16	n/a	n/a
276.877440	2	cue_nonsocial_low	n/a	16	n/a	n/a
278.884340	3.766946	missed_trial	n/a	16.000000	n/a	n/a
283.737820	2	cue_social	n/a	16	n/a	n/a
283.737820	2	cue_social_low	n/a	16	n/a	n/a
285.717250	1.850631	dec_social_low	1.850631	16	n/a	4
285.717250	1.850631	dec_social_low_reject	1.850631	16	reject	4
293.032930	2	cue_social	n/a	16	n/a	n/a
293.032930	2	cue_social_low	n/a	16	n/a	n/a
294.967350	1.883574	dec_social_low	1.883574	16	n/a	4
294.967350	1.883574	dec_social_low_reject	1.883574	16	reject	4
299.793980	2	cue_nonsocial	n/a	16	n/a	n/a
299.793980	2	cue_nonsocial_low	n/a	16	n/a	n/a
