onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod	Offer_pmod
4.514565	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
4.514565	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
13.781304	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
13.781304	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
20.672735	2	cue_social	n/a	32	9	n/a	n/a	n/a
20.672735	2	cue_social_high	n/a	32	9	n/a	n/a	n/a
29.864653	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
29.864653	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
36.758710	2	cue_social	n/a	16	-7	n/a	n/a	n/a
36.758710	2	cue_social_low	n/a	16	-7	n/a	n/a	n/a
44.394226	2	cue_social	n/a	16	-7	n/a	n/a	n/a
44.394226	2	cue_social_low	n/a	16	-7	n/a	n/a	n/a
51.164740	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
51.164740	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
60.414707	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
60.414707	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
68.064460	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
68.064460	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
74.898170	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
74.898170	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
85.764510	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
85.764510	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
93.414390	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
93.414390	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
102.664640	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
102.664640	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
109.497750	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
109.497750	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
116.382990	2	cue_social	n/a	16	-7	n/a	n/a	n/a
116.382990	2	cue_social_low	n/a	16	-7	n/a	n/a	n/a
123.164370	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
123.164370	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
130.814760	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
130.814760	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
137.647840	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
137.647840	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
145.385700	2	cue_social	n/a	16	-7	n/a	n/a	n/a
145.385700	2	cue_social_low	n/a	16	-7	n/a	n/a	n/a
152.931170	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
152.931170	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
159.763840	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
159.763840	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
170.700500	2	cue_social	n/a	16	-7	n/a	n/a	n/a
170.700500	2	cue_social_low	n/a	16	-7	n/a	n/a	n/a
177.464400	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
177.464400	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
185.114090	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
185.114090	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
191.947540	2	cue_nonsocial	n/a	16	-7	n/a	n/a	n/a
191.947540	2	cue_nonsocial_low	n/a	16	-7	n/a	n/a	n/a
199.649140	2	cue_social	n/a	32	9	n/a	n/a	n/a
199.649140	2	cue_social_high	n/a	32	9	n/a	n/a	n/a
207.301830	2	cue_social	n/a	16	-7	n/a	n/a	n/a
207.301830	2	cue_social_low	n/a	16	-7	n/a	n/a	n/a
214.154830	2	cue_social	n/a	32	9	n/a	n/a	n/a
214.154830	2	cue_social_high	n/a	32	9	n/a	n/a	n/a
221.731110	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
221.731110	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
228.564470	2	cue_nonsocial	n/a	32	9	n/a	n/a	n/a
228.564470	2	cue_nonsocial_high	n/a	32	9	n/a	n/a	n/a
235.463300	2	cue_social	n/a	16	-7	n/a	n/a	n/a
