Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,8.075000e-01,1.615000e+00
2,6,2,3,2.422500e+00,8.075000e-01
3,4,2,1,8.075000e-01,1.615000e+00
4,7,3,1,8.075000e-01,1.615000e+00
5,9,3,3,2.422500e+00,8.075000e-01
6,3,1,3,8.075000e-01,2.422500e+00
7,1,1,1,8.882500e+00,1.615000e+00
8,6,2,3,4.037500e+00,2.422500e+00
9,7,3,1,8.075000e-01,8.075000e-01
10,3,1,3,8.075000e-01,2.422500e+00
11,3,1,3,7.267500e+00,8.075000e-01
12,3,1,3,8.075000e-01,2.422500e+00
13,6,2,3,4.037500e+00,2.422500e+00
14,5,2,2,8.075000e-01,8.075000e-01
15,3,1,3,8.075000e-01,8.075000e-01
16,4,2,1,5.652500e+00,1.615000e+00
17,4,2,1,8.075000e-01,1.615000e+00
18,4,2,1,8.075000e-01,8.075000e-01
19,1,1,1,8.075000e-01,2.422500e+00
20,7,3,1,8.075000e-01,8.075000e-01
21,9,3,3,8.075000e-01,2.422500e+00
22,1,1,1,4.037500e+00,2.422500e+00
23,6,2,3,5.652500e+00,1.615000e+00
24,4,2,1,2.422500e+00,1.615000e+00
25,2,1,2,4.037500e+00,1.615000e+00
26,6,2,3,2.422500e+00,2.422500e+00
27,9,3,3,8.075000e-01,8.075000e-01
28,7,3,1,2.422500e+00,8.075000e-01
29,7,3,1,2.422500e+00,1.615000e+00
30,9,3,3,5.652500e+00,2.422500e+00
31,9,3,3,8.075000e-01,2.422500e+00
32,2,1,2,8.075000e-01,1.615000e+00
33,1,1,1,2.422500e+00,1.615000e+00
34,8,3,2,8.075000e-01,8.075000e-01
35,7,3,1,2.422500e+00,1.615000e+00
36,9,3,3,2.422500e+00,1.615000e+00
37,6,2,3,5.652500e+00,2.422500e+00
38,6,2,3,2.422500e+00,1.615000e+00
39,9,3,3,8.075000e-01,8.075000e-01
40,1,1,1,7.267500e+00,1.615000e+00
41,4,2,1,8.075000e-01,2.422500e+00
42,3,1,3,8.075000e-01,1.615000e+00
43,5,2,2,8.075000e-01,2.422500e+00
44,3,1,3,4.037500e+00,2.422500e+00
45,1,1,1,2.422500e+00,8.075000e-01
46,3,1,3,8.075000e-01,8.075000e-01
47,6,2,3,8.075000e-01,8.075000e-01
48,7,3,1,8.075000e-01,2.422500e+00
49,9,3,3,2.422500e+00,8.075000e-01
50,8,3,2,8.075000e-01,8.075000e-01
51,4,2,1,2.422500e+00,8.075000e-01
52,7,3,1,4.037500e+00,2.422500e+00
53,1,1,1,4.037500e+00,1.615000e+00
54,4,2,1,8.075000e-01,2.422500e+00
