TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,7,3,1,8.075000e-01,1.615000e+00,1.0,0.0,2.700137e-06,0.0049281,4.0278134,1.0,4.6652656,0.6374523,4.7657423,3.6775477,8.445479,9.0,8.44563,9.053691,5.025877,9.053895,9.863014,--
2,2,9,3,3,8.075000e-01,1.615000e+00,1.0,1.0,--,--,9.870949,1.0,10.915078,1.0441293,11.015467,3.2708707,14.28796,4.0,14.288078,14.894159,5.02321,14.894311,15.703984,--
3,3,9,3,3,2.422500e+00,8.075000e-01,1.0,2.0,--,--,15.71114,2.0,16.548735,0.8375946,16.649128,2.6699054,19.32092,6.0,19.32104,19.926058,4.214919,19.926214,22.350447,--
4,4,1,1,1,5.652500e+00,2.422500e+00,1.0,3.0,--,--,22.357018,1.0,23.08302,0.7260019,23.183397,4.396498,27.582155,9.0,27.582273,28.186775,5.829757,28.186924,33.84115,--
5,5,1,1,1,8.075000e-01,1.615000e+00,1.0,4.0,--,--,33.84299,1.0,34.58175,0.7387553,34.68214,3.5762446,38.261024,8.0,38.261147,38.86648,5.0234895,38.86664,39.67593,--
6,6,3,1,3,2.422500e+00,8.075000e-01,1.0,5.0,--,--,39.677788,0.0,42.457764,2.7799761,42.558163,0.7275239,43.287983,999.0,43.2881,43.893597,4.215806,43.893757,46.317883,--
7,7,4,2,1,2.422500e+00,1.615000e+00,1.0,6.0,--,--,46.33248,2.0,48.498714,2.1662333,48.599125,2.1487665,50.75017,1.0,50.750294,51.355927,5.0234456,51.35608,53.780315,--
8,8,2,1,2,8.075000e-01,2.422500e+00,1.0,7.0,--,--,53.78331,2.0,55.13189,1.3485785,55.2323,3.7739215,59.00768,5.0,59.007797,59.615116,5.8318043,59.61527,60.424904,--
9,9,9,3,3,2.422500e+00,2.422500e+00,1.0,8.0,--,--,60.433327,1.0,61.58175,1.1484227,61.682137,3.9740772,65.65951,3.0,65.65963,66.26503,5.8317018,66.26518,68.68946,--
10,10,6,2,3,8.075000e-01,8.075000e-01,1.0,9.0,--,--,68.701,2.0,69.33167,0.6306794,69.432076,2.8768206,72.31183,8.0,72.31196,72.91552,4.214525,72.91568,73.72488,--
11,11,6,2,3,8.075000e-01,1.615000e+00,1.0,10.0,--,--,73.73578,2.0,74.781525,1.0457442,74.88193,3.2692559,78.15297,8.0,78.15309,78.75666,5.0208774,78.75681,79.56598,--
12,12,3,1,3,8.075000e-01,8.075000e-01,1.0,11.0,--,--,79.569046,1.0,80.29812,0.7290731,80.39852,2.778427,83.178986,2.0,83.17911,83.78405,4.2150016,83.7842,84.59387,--
13,13,4,2,1,2.422500e+00,2.422500e+00,1.0,12.0,--,--,84.605225,2.0,85.331436,0.726214,85.43184,4.396286,89.83009,1.0,89.830215,90.43573,5.8305054,90.43588,92.86098,--
14,14,7,3,1,2.422500e+00,8.075000e-01,1.0,13.0,--,--,92.86895,2.0,93.39821,0.5292645,93.49859,2.9782355,96.4797,3.0,96.47982,97.08335,4.214402,97.0835,99.50778,--
15,15,9,3,3,4.037500e+00,8.075000e-01,1.0,14.0,--,--,99.514885,1.0,100.44803,0.9331451,100.54842,2.574355,103.124535,1.0,103.12466,103.73075,4.215864,103.73091,107.77012,--
16,16,7,3,1,8.075000e-01,1.615000e+00,1.0,15.0,--,--,107.77723,2.0,108.51491,0.7376787,108.6153,3.5773213,112.19476,2.0,112.19488,112.79954,5.022309,112.7997,113.60978,--
