TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,8,4,3,0,2,8.075000e-01,1.0,0.0,4.038943,1.0,8,5.851007,high,1.8120645,1.1879355,6.370948,10.789049,10.792985,12.794545,8.755602,12.79501,13.59644
2,2,0,8,3,0,5.000000e-01,7.267500e+00,1.0,1.0,13.6171665,2.0,8,15.384765,high,1.7675974,1.2324026,15.90497,18.867256,18.867758,20.869986,7.252818,20.870434,28.13564
3,3,2,8,2,1,2,8.075000e-01,1.0,2.0,28.252857,2.0,8,29.900972,high,1.6481159,1.3518841,30.42108,35.00326,35.005554,37.007812,8.754956,37.008194,37.81037
4,4,2,0,2,0,5.000000e-01,5.652500e+00,1.0,3.0,37.92683,1.0,2,39.30113,high,1.3743016,1.6256984,39.81993,43.17754,43.179337,45.181038,7.254211,45.181423,50.829666
5,5,2,8,2,1,5.000000e-01,2.422500e+00,1.0,4.0,50.94131,2.0,8,52.418297,high,1.4769894,1.5230106,52.937134,56.190926,56.192886,58.195328,7.25402,58.195717,60.613758
6,6,8,2,2,0,5.000000e-01,7.267500e+00,1.0,5.0,60.729057,1.0,8,62.38505,high,1.6559964,1.3440036,62.904144,65.980484,65.98229,67.98444,7.25539,67.98483,75.246925
7,7,8,0,2,1,5.000000e-01,4.037500e+00,1.0,6.0,75.35739,999.0,999,78.36768,999,0.0,0.0,78.371155,80.60743,999.0,999.0,923.6426,82.61319,86.64568
8,8,8,0,3,1,5.000000e-01,8.075000e-01,1.0,7.0,86.66434,1.0,8,88.18475,high,1.520419,1.479581,88.70341,91.91457,91.91658,93.91824,7.2539086,93.91864,94.72217
9,9,8,4,2,0,2,8.075000e-01,1.0,8.0,94.83382,2.0,4,96.317535,low,1.4837222,1.5162778,96.83778,101.5846,101.58638,103.588745,8.754929,103.589134,104.39062
10,10,2,4,2,0,5.000000e-01,2.422500e+00,1.0,9.0,104.50127,2.0,4,106.15068,high,1.6494137,1.3505863,106.67023,109.75133,109.75173,111.75383,7.252562,111.75421,114.17516
11,11,2,8,1,1,5.000000e-01,8.075000e-01,1.0,10.0,114.18096,2.0,8,115.58454,high,1.4035746,1.5964254,116.10486,119.4316,119.43376,121.43627,7.2553077,121.436676,122.23879
12,12,8,2,1,1,5.000000e-01,2.422500e+00,1.0,11.0,122.24357,1.0,8,123.85093,high,1.6073585,1.3926415,124.37034,127.49467,127.49507,129.49811,7.2545323,129.4985,131.91681
13,13,8,2,3,0,5.000000e-01,8.882500e+00,1.0,12.0,131.93556,1.0,8,133.23468,high,1.2991126,1.7008874,133.75323,137.18558,137.18756,139.18901,7.2534537,139.1894,148.06866
14,14,4,0,2,1,5.000000e-01,8.075000e-01,1.0,13.0,148.18282,1.0,4,149.5509,high,1.368096,1.631904,150.06998,153.4334,153.43532,155.43695,7.254136,155.43733,156.24074
15,15,8,2,2,0,5.000000e-01,2.422500e+00,1.0,14.0,156.35555,1.0,8,157.75032,high,1.3947707,1.6052293,158.27058,161.6064,161.60817,163.61003,7.254481,163.61041,166.02853
16,16,2,0,1,0,5.000000e-01,8.075000e-01,1.0,15.0,166.03473,1.0,2,167.28416,high,1.2494287,1.7505713,167.80319,171.2842,171.28653,173.28862,7.2538967,173.28902,174.09286
17,17,8,2,3,0,2,8.075000e-01,1.0,16.0,174.114,1.0,8,175.56714,high,1.453133,1.546867,176.08739,180.86461,180.86658,182.8683,8.7542925,182.86868,183.67235
18,18,2,4,3,0,3.500000e+00,4.037500e+00,1.0,17.0,183.69199,2.0,4,185.2342,high,1.542233,1.457767,185.75375,191.94267,191.94308,193.94527,10.253284,193.94565,197.9805
19,19,4,2,1,0,5.000000e-01,8.075000e-01,1.0,18.0,197.98659,1.0,4,199.55013,high,1.5635319,1.4364681,200.07042,203.23746,203.23944,205.24251,7.2559104,205.2429,206.0441
20,20,8,2,3,1,2,2.422500e+00,1.0,19.0,206.06448,1.0,8,207.51678,high,1.4522998,1.5477002,208.03693,212.81459,212.8166,214.81824,8.753756,214.81863,217.23737
21,21,0,2,3,1,2,2.422500e+00,1.0,20.0,217.2561,2.0,2,219.01697,high,1.7608706,1.2391294,219.53667,224.00716,224.00757,226.01056,8.754454,226.01094,228.42947
22,22,4,2,2,1,2,2.422500e+00,1.0,21.0,228.5476,1.0,4,230.06755,high,1.519941,1.480059,230.58716,235.29813,235.30006,237.30255,8.754953,237.30295,239.72057
23,23,4,0,3,1,2,8.075000e-01,1.0,22.0,239.74055,1.0,4,241.18382,high,1.4432591,1.5567409,241.704,246.49078,246.49292,248.49548,8.754918,248.49588,249.2989
24,24,4,8,1,0,2,8.075000e-01,1.0,23.0,249.30376,2.0,8,250.73393,high,1.4301687,1.5698313,251.2536,256.055,256.05704,258.0598,8.756054,258.0602,258.86215
25,25,8,2,1,0,2,2.422500e+00,1.0,24.0,258.8668,1.0,8,260.25,high,1.3832186,1.6167814,260.76978,265.61807,265.6185,267.62143,8.754633,267.6218,270.0398
26,26,0,4,1,1,5.000000e-01,4.037500e+00,1.0,25.0,270.04465,2.0,4,271.5172,high,1.4725578,1.5274422,272.03702,275.29434,275.29636,277.2994,7.2547555,277.29977,281.33252
27,27,4,8,1,1,5.000000e-01,8.075000e-01,1.0,26.0,281.3371,2.0,8,282.6838,high,1.3467107,1.6532893,283.20358,286.58762,286.58804,288.5904,7.2532907,288.5908,289.39523
28,28,0,4,1,0,3.500000e+00,8.075000e-01,1.0,27.0,289.39975,1.0,0,291.36703,low,1.9672668,1.0327332,291.88696,297.64972,297.6498,299.65158,10.251821,299.65198,300.4587
29,29,4,8,2,1,5.000000e-01,4.037500e+00,1.0,28.0,300.5743,2.0,8,302.2836,high,1.709315,1.290685,302.80292,305.8247,305.82666,307.82852,7.2542133,307.82892,311.8622
30,30,0,8,2,0,5.000000e-01,8.075000e-01,1.0,29.0,311.98074,2.0,8,314.11658,high,2.1358304,0.8641696,314.63626,317.23132,317.23312,319.23575,7.2550077,319.23615,320.0385
