Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,8,2,1,5.000000e-01,8.075000e-01
2,4,2,3,0,2,8.075000e-01
3,0,4,1,1,2,8.075000e-01
4,4,0,2,0,5.000000e-01,8.075000e-01
5,0,4,3,1,5.000000e-01,7.267500e+00
6,0,8,1,0,2,5.652500e+00
7,8,4,3,1,2,8.075000e-01
8,0,4,2,1,5.000000e-01,7.267500e+00
9,8,2,3,1,2,5.652500e+00
10,2,8,1,0,3.500000e+00,2.422500e+00
11,8,2,2,0,5.000000e-01,2.422500e+00
12,0,8,2,1,5.000000e-01,8.075000e-01
13,0,8,3,0,5.000000e-01,2.422500e+00
14,0,8,3,1,5.000000e-01,4.037500e+00
15,2,0,1,0,2,2.422500e+00
16,0,2,2,1,2,2.422500e+00
17,8,4,2,1,2,2.422500e+00
18,0,8,2,0,3.500000e+00,8.075000e-01
19,2,8,1,0,5.000000e-01,4.037500e+00
20,2,4,3,1,2,8.075000e-01
21,0,2,3,0,2,4.037500e+00
22,2,8,2,1,5.000000e-01,8.075000e-01
23,8,2,2,0,2,8.075000e-01
24,4,8,3,0,5.000000e-01,8.075000e-01
25,2,8,1,1,2,8.075000e-01
26,4,8,1,1,5.000000e-01,8.075000e-01
27,4,2,2,0,3.500000e+00,8.075000e-01
28,8,4,1,0,2,8.075000e-01
29,2,4,1,1,5.000000e-01,2.422500e+00
30,2,8,1,1,5.000000e-01,8.882500e+00
31,2,0,1,1,2,2.422500e+00
32,8,2,3,0,5.000000e-01,8.075000e-01
33,2,8,3,1,5.000000e-01,8.075000e-01
34,0,4,3,0,5.000000e-01,2.422500e+00
35,8,2,3,0,5.000000e-01,8.075000e-01
36,4,8,2,0,2,8.075000e-01
37,0,8,1,1,5.000000e-01,2.422500e+00
38,0,2,3,1,5.000000e-01,4.037500e+00
39,4,0,1,0,3.500000e+00,2.422500e+00
40,2,4,2,1,5.000000e-01,4.037500e+00
41,4,2,1,0,5.000000e-01,8.075000e-01
42,0,2,2,0,5.000000e-01,8.075000e-01
