TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,16,0.5575,1,0,2,1.0,0.0,4.594188,5.499351,5.515559,5.515672,6.5152497,6.515424,2.0,2.4335234,8.948947,10.282768,3.7680054,10.283558,10.843177
2,2,2,16,1.365,1,0,2,1.0,1.0,11.342774,12.33209,12.349316,12.349395,13.349925,13.350066,2.0,1.5495102,14.899577,17.11697,3.767454,17.117628,18.484856
3,3,3,16,1.365,1,1,0,1.0,2.0,19.056921,19.982021,19.999144,19.99922,20.998852,20.998995,2.0,1.5166534,22.515648,24.7665,3.768046,24.767147,26.133574
4,4,3,32,0.5575,1,0,8,1.0,3.0,26.716137,27.6325,27.64881,27.648895,28.649082,28.649223,2.0,1.1168846,29.766108,32.416676,3.7680008,32.41733,32.976246
5,5,3,32,1.365,1,3,0,1.0,4.0,33.53025,34.46587,34.482544,34.482624,35.48225,35.4824,1.0,1.466465,36.948864,39.24902,3.7671742,39.24968,40.615894
6,6,3,32,0.5575,1,0,3,1.0,5.0,41.177242,42.115784,42.132523,42.132607,43.131794,43.13194,2.0,1.6341442,44.766083,46.897705,3.766308,46.898354,47.45733
7,7,3,16,1.365,1,0,2,1.0,6.0,48.01923,48.948826,48.965847,48.965923,49.965816,49.96596,2.0,1.2835227,51.249485,53.733734,3.7683036,53.73437,55.100384
8,8,2,32,0.5575,1,0,16,1.0,7.0,55.609474,56.5987,56.615757,56.615833,57.615906,57.616047,2.0,1.1833425,58.79939,61.3819,3.7663918,61.382545,61.94184
9,9,3,32,4.595,1,2,0,1.0,8.0,62.525986,63.43254,63.448696,63.448776,64.44854,64.44869,2.0,2.033961,66.48265,68.21554,3.7673843,68.21618,72.81273
10,10,2,16,0.5575,1,1,0,1.0,9.0,73.309364,74.29866,74.31573,74.31586,75.31591,75.316055,2.0,1.1997213,76.51578,79.08268,3.767166,79.08333,79.64245
11,11,3,32,0.5575,1,16,0,1.0,10.0,80.17368,81.13243,81.148506,81.14858,82.14877,82.14892,1.0,1.2003776,83.3493,85.915794,3.7674184,85.91644,86.475655
12,12,2,32,0.5575,1,8,0,1.0,11.0,86.97593,87.96519,87.98237,87.98244,88.98252,88.98266,1.0,1.416085,90.39875,92.74986,3.7677486,92.75052,93.309494
13,13,2,16,1.365,1,8,0,1.0,12.0,93.80925,94.79859,94.815544,94.81562,95.81569,95.815834,1.0,1.2834018,97.099236,99.582794,3.7675,99.58344,100.94952
14,14,3,16,0.5575,1,0,1,1.0,13.0,101.51151,102.44875,102.46542,102.4655,103.46555,103.46569,1.0,1.633555,105.09925,107.23275,3.767599,107.2334,107.79225
15,15,3,16,2.98,1,4,0,1.0,14.0,108.35032,109.28192,109.29903,109.2991,110.29933,110.29947,1.0,1.4158573,111.71533,114.06646,3.7675302,114.06711,117.049774
16,16,3,16,2.98,1,0,4,1.0,15.0,117.61785,118.54835,118.56578,118.56586,119.566376,119.56651,2.0,1.2653621,120.83188,123.334274,3.7683008,123.33492,126.31772
17,17,2,16,4.595,1,2,0,1.0,16.0,126.825775,127.815056,127.83225,127.83234,128.83249,128.83264,1.0,1.4662712,130.2989,132.5996,3.7675002,132.60025,137.19678
18,18,2,32,0.5575,1,0,16,1.0,17.0,137.69234,138.68176,138.69887,138.69894,139.69884,139.69897,2.0,1.5000997,141.19907,143.46576,3.767349,143.46643,144.02536
19,19,3,16,1.365,1,8,0,1.0,18.0,144.6258,145.51549,145.53215,145.53224,146.5325,146.53265,1.0,1.1161246,147.64877,150.29959,3.767483,150.30023,151.66673
20,20,2,16,1.365,1,4,0,1.0,19.0,152.17577,153.16519,153.18217,153.18227,154.18158,154.18172,1.0,0.9839181,155.16563,157.94934,3.76816,157.94998,159.31674
21,21,3,16,0.5575,1,0,8,1.0,20.0,159.92767,160.81543,160.83221,160.83229,161.8326,161.83275,2.0,1.265855,163.0986,165.5998,3.7676034,165.60045,166.1595
22,22,3,16,0.5575,1,0,4,1.0,21.0,166.72986,167.64857,167.66542,167.66548,168.66544,168.66559,2.0,1.2499502,169.91553,172.43233,3.7673018,172.433,172.99185
23,23,2,16,0.5575,1,1,0,1.0,22.0,173.49245,174.4817,174.49878,174.49886,175.4996,175.49976,2.0,1.282554,176.7823,179.26674,3.7675266,179.26738,179.82664
24,24,3,16,0.5575,1,0,1,1.0,23.0,180.387,181.3149,181.33212,181.3322,182.33325,182.3334,1.0,1.4655755,183.79898,186.10017,3.767314,186.10083,186.66057
25,25,2,32,6.21,1,8,0,1.0,24.0,187.15875,188.14822,188.16527,188.16534,189.16515,189.16528,1.0,1.1164988,190.28178,192.93268,3.7679334,192.93332,199.1448
26,26,3,32,2.98,1,0,3,1.0,25.0,199.73952,200.632,200.64867,200.64874,201.6496,201.64973,2.0,1.6988864,203.34863,205.41661,3.767428,205.41728,208.39914
27,27,3,32,2.98,1,0,16,1.0,26.0,208.96094,209.89868,209.91522,209.9153,210.9154,210.91556,2.0,1.1662478,212.0818,214.68289,3.7678833,214.68355,217.66449
28,28,2,16,0.5575,1,0,2,1.0,27.0,218.15883,219.14822,219.16531,219.16539,220.16537,220.16553,2.0,1.3833951,221.54892,223.93219,3.767211,223.93285,224.4916
29,29,2,32,1.365,1,16,0,1.0,28.0,224.99194,225.98154,225.99866,225.99873,226.99875,226.9989,1.0,1.0999892,228.09889,230.76552,3.767164,230.76617,232.13255
30,30,3,16,0.5575,1,0,1,1.0,29.0,232.71022,233.6317,233.6489,233.64897,234.64854,234.64868,1.0,1.4334677,236.08215,238.41519,3.7670548,238.41585,238.97519
31,31,3,16,0.5575,1,0,2,1.0,30.0,239.53981,240.4648,240.48193,240.48201,241.48308,241.48323,2.0,0.9990029,242.48222,245.24873,3.7660513,245.24939,245.80995
32,32,2,32,0.5575,1,0,16,1.0,31.0,246.30872,247.29814,247.31517,247.31525,248.31535,248.31549,2.0,1.4833845,249.79889,252.08266,3.7677045,252.08331,252.6425
33,33,3,32,2.98,1,8,0,1.0,32.0,253.20386,254.13142,254.1485,254.14857,255.14856,255.1487,1.0,1.316397,256.4651,258.91632,3.7681692,258.917,261.8986
34,34,2,32,0.5575,1,2,0,1.0,33.0,262.40875,263.398,263.41513,263.41522,264.41547,264.4156,2.0,2.4331474,266.84875,268.183,3.7679653,268.18365,268.74274
35,35,3,32,0.5575,1,0,2,1.0,34.0,269.29974,270.23132,270.24847,270.24854,271.24863,271.24878,2.0,1.61618,272.86496,275.01517,3.7669253,275.0158,275.57465
36,36,2,32,0.5575,1,8,0,1.0,35.0,276.07547,277.06482,277.0818,277.08188,278.0823,278.08246,1.0,1.0830075,279.16547,281.8488,3.7668746,281.84943,282.40836
37,37,2,16,1.365,1,0,1,1.0,36.0,282.90894,283.8981,283.91507,283.91525,284.91586,284.91602,1.0,1.1992078,286.1152,288.68246,3.7670083,288.6831,290.04938
38,38,3,32,1.365,1,0,16,1.0,37.0,290.6503,291.54834,291.56497,291.56506,292.5647,292.56482,2.0,1.2164037,293.78122,296.33252,3.7682304,296.33316,297.69913
39,39,3,32,2.98,1,8,0,1.0,38.0,298.2688,299.1979,299.21497,299.21506,300.21432,300.21448,1.0,1.3505567,301.56503,303.9814,3.7674954,303.98206,306.96365
40,40,2,32,1.365,1,0,2,1.0,39.0,307.45816,308.44785,308.4651,308.46515,309.46448,309.46463,1.0,2.383861,311.84848,313.23138,3.7673137,313.23206,314.59863
41,41,2,16,0.5575,1,0,8,1.0,40.0,315.10876,316.09808,316.11493,316.115,317.11523,317.1154,2.0,1.0831237,318.19852,320.8812,3.7663472,320.88184,321.44135
42,42,2,32,0.5575,1,0,2,1.0,41.0,321.94196,322.93124,322.94827,322.94833,323.94937,323.9495,1.0,1.5828182,325.53232,327.71637,3.7674196,327.717,328.2761
43,43,2,32,1.365,1,3,0,1.0,42.0,328.77548,329.76456,329.78177,329.7819,330.78198,330.7821,1.0,1.182953,331.96506,334.54877,3.7672133,334.54944,335.91605
44,44,2,16,0.5575,1,0,2,1.0,43.0,336.4254,337.4144,337.4315,337.43158,338.43127,338.43143,2.0,2.200358,340.63177,342.19748,3.7666125,342.19815,342.75772
45,45,2,16,1.365,1,4,0,1.0,44.0,343.25845,344.2477,344.26498,344.26508,345.2644,345.26456,1.0,1.0340743,346.29865,349.03058,3.7665763,349.03125,350.39752
46,46,2,32,4.595,1,3,0,1.0,45.0,350.8918,351.88104,351.8981,351.8982,352.89734,352.8975,1.0,1.9675403,354.86505,356.6654,3.768457,356.66608,361.26306
47,47,3,16,0.5575,1,8,0,1.0,46.0,361.84048,362.748,362.76443,362.7645,363.76453,363.76468,1.0,1.1335579,364.89822,367.53235,3.7682123,367.533,368.0922
48,48,2,32,2.98,1,0,8,1.0,47.0,368.5918,369.5811,369.59814,369.59824,370.59766,370.5978,2.0,1.1004595,371.69827,374.36435,3.7670877,374.365,377.34622
