nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,16,1.365,1,1,0
2,2,16,0.5575,1,8,0
3,2,32,0.5575,1,0,3
4,3,32,2.98,1,2,0
5,3,32,4.595,1,8,0
6,3,32,0.5575,1,0,16
7,3,16,0.5575,1,0,2
8,2,16,0.5575,1,0,4
9,3,32,0.5575,1,0,2
10,3,32,2.98,1,16,0
11,3,32,0.5575,1,3,0
12,2,32,4.595,1,0,8
13,2,32,0.5575,1,0,8
14,2,16,0.5575,1,0,8
15,2,16,1.365,1,1,0
16,2,16,2.98,1,2,0
17,2,16,6.21,1,0,4
18,3,16,2.98,1,8,0
19,3,16,0.5575,1,0,8
20,3,16,1.365,1,2,0
21,2,32,1.365,1,2,0
22,2,32,0.5575,1,0,3
23,3,16,0.5575,1,2,0
24,3,32,0.5575,1,0,3
25,3,32,0.5575,1,0,8
26,2,16,0.5575,1,4,0
27,2,32,1.365,1,0,8
28,3,32,0.5575,1,0,16
29,3,16,1.365,1,1,0
30,2,16,0.5575,1,0,2
31,2,32,0.5575,1,16,0
32,2,16,0.5575,1,0,1
33,3,16,1.365,1,0,4
34,2,16,1.365,1,0,2
35,2,32,4.595,1,3,0
36,2,32,0.5575,1,2,0
37,3,32,1.365,1,8,0
38,2,16,1.365,1,8,0
39,2,16,1.365,1,0,8
40,3,32,0.5575,1,0,8
41,3,32,2.98,1,0,16
42,2,16,1.365,1,8,0
43,2,16,2.98,1,0,1
44,3,16,2.98,1,0,1
45,3,16,0.5575,1,0,1
46,3,16,0.5575,1,2,0
47,3,16,1.365,1,4,0
48,2,32,0.5575,1,0,2
