instrText,stimDoor,stimDoorLure,stimFace,stimFaceLure,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Func,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,Stim,Lure,Participant*,Age,date,expName,psychopyVersion,frameRate,
"In the earlier Feedback Games, you chose which doors contained a prize, and which peers liked you. 

You then saw positive or negative feedback (green check mark or red X) from the door or peer you selected.

You will now see a series of doors and peers, some of which you saw during the earlier Feedback Games, and some that you have never seen before.

Please press the spacebar to continue.",,,,,0,0,0,0,,,,,instrFunc,space,"In the earlier Feedback Games, you chose which doors contained a prize, and which peers liked you. 

You then saw positive or negative feedback (green check mark or red X) from the door or peer you selected.

You will now see a series of doors and peers, some of which you saw during the earlier Feedback Games, and some that you have never seen before.

Please press the spacebar to continue.",18.69326479989104,26.272868699976243,45.03624830010813,2023-06-07 12:38:25.941564,2023-06-07 12:38:44.689029,,,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
"For doors/peers that you remember selecting and getting feedback from, your job is to RECALL what feedback you received. 

Press '1' if you recall positive feedback. 

Press '2' if you recall negative feedback

Press the spacebar to continue.",,,,,0,1,1,1,,,,,instrFunc,space,"For doors/peers that you remember selecting and getting feedback from, your job is to RECALL what feedback you received. 

Press '1' if you recall positive feedback. 

Press '2' if you recall negative feedback

Press the spacebar to continue.",15.986500900005922,45.003410700010136,61.04398369998671,2023-06-07 12:38:44.690029,2023-06-07 12:39:00.716237,,,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
"For doors/peers that you don't remember getting feedback from, your job is to PREDICT what feedback you WOULD HAVE received.

Press '9' if you predict positive feedback.

Press '0' if you predict negative feedback. 

Please press the spacebar to continue.",,,,,0,2,2,2,,,,,instrFunc,space,"For doors/peers that you don't remember getting feedback from, your job is to PREDICT what feedback you WOULD HAVE received.

Press '9' if you predict positive feedback.

Press '0' if you predict negative feedback. 

Please press the spacebar to continue.",22.309717199997976,61.03239790000953,83.39548820001073,2023-06-07 12:39:00.717237,2023-06-07 12:39:23.065852,,,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
"This task is self-paced, and the prompts will always stay on the screen so that you know which buttons to press.

On the next screen we will show you what those prompts look like, so that you know exactly what to expect. 

You will start with either doors or peers, and then switch halfway through. 

Please press the spacebar to continue.",,,,,0,3,3,3,,,,,instrFunc,space,"This task is self-paced, and the prompts will always stay on the screen so that you know which buttons to press.

On the next screen we will show you what those prompts look like, so that you know exactly what to expect. 

You will start with either doors or peers, and then switch halfway through. 

Please press the spacebar to continue.",5.403241100022569,83.3788213999942,88.8298401000211,2023-06-07 12:39:23.066854,2023-06-07 12:39:28.503310,,,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
,,,,,,,,,,,,,imgtextFunc,space,"Here is what the screen will look like while you make your ratings.
The green circles remind you to press 1 or 9 for positive feedback.
The red circles remind you to press 2 or 0 for negative feedback.









Please let the experimenter know if you have any questions.

Whenever you're ready, press the spacebar to start the task.",52.378894299967214,88.96317890007049,141.51319320010953,2023-06-07 12:39:28.514283,2023-06-07 12:40:21.059114,,,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
,SD011.jpg,0,MF011.jpg,0,,,,,0,0,0,60,imgFunc,0,NA,6.881132200011052,141.5408173999749,148.5463931999402,2023-06-07 12:40:21.140991,2023-06-07 12:40:28.146649,SD011.jpg,0,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
,SD028.jpg,0,MF028.jpg,0,,,,,0,1,1,77,imgFunc,2,NA,3.7293081999523565,148.54078090004623,152.38824529992417,2023-06-07 12:40:28.157621,2023-06-07 12:40:31.999358,SD028.jpg,0,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
,L_SD508.jpg,1,L_MF508.jpg,1,,,,,0,2,2,97,imgFunc,0,NA,2.7413419999647886,152.37655070004985,155.2048506999854,2023-06-07 12:40:32.011328,2023-06-07 12:40:34.834945,L_SD508.jpg,1,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
,DD016.jpg,0,FF016.jpg,0,,,,,0,3,3,15,imgFunc,1,NA,2.0105308999773115,155.219585700077,157.33511020010337,2023-06-07 12:40:34.843923,2023-06-07 12:40:36.952839,DD016.jpg,0,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
,SD032.jpg,0,MF032.jpg,0,,,,,0,4,4,81,imgFunc,2,NA,3.5468820000533015,157.33115069998894,160.98177329986356,2023-06-07 12:40:36.961818,2023-06-07 12:40:40.605663,SD032.jpg,0,10674,30-49,2023-06-07_12h38.23.333,Recall,2021.2.3,60.01640851321421,
