onset	duration	trial_type	rt	resp	gender	image_left	image_right
0.6241778000257909	3.0014601999428123	decision	1.7826155999209732	left	M	MF001.jpg	MF002.jpg
4.174162899958901	1.0000414999667555	win	n/a	n/a	n/a	MF001.jpg	MF002.jpg
11.140897499979474	3.0019516999600455	decision	1.5326712999958545	right	M	MF003.jpg	MF004.jpg
14.691021400038153	1.0163395999697968	loss	n/a	n/a	n/a	MF003.jpg	MF004.jpg
17.457536699948832	3.0011335000162944	decision	2.0324414999922737	right	M	MF005.jpg	MF006.jpg
21.007542100036517	1.0000025999033824	win	n/a	n/a	n/a	MF005.jpg	MF006.jpg
23.75756039994303	3.0010973000898957	decision	1.5324514000676572	left	F	FF001.jpg	FF002.jpg
27.30736929993145	1.0003217000048608	win	n/a	n/a	n/a	FF001.jpg	FF002.jpg
32.157594899996184	3.0011911999899894	decision	1.534309900016524	left	F	FF003.jpg	FF004.jpg
35.707544400007464	1.0164915999630466	loss	n/a	n/a	n/a	FF003.jpg	FF004.jpg
42.67418470000848	3.0011439999798313	decision	2.2836606999626383	right	M	MF007.jpg	MF008.jpg
46.22419009997975	1.0001870000269264	loss	n/a	n/a	n/a	MF007.jpg	MF008.jpg
51.074216199922375	3.001365500036627	decision	2.0326650000642985	right	M	MF009.jpg	MF010.jpg
54.62407749996055	1.0001141000539064	win	n/a	n/a	n/a	MF009.jpg	MF010.jpg
59.47418389993254	3.0006617000326514	decision	1.783182300045155	right	F	FF005.jpg	FF006.jpg
63.024098000023514	1.0165819999529049	loss	n/a	n/a	n/a	FF005.jpg	FF006.jpg
65.79076569993049	3.0021240999922156	decision	2.5349012000951916	left	F	FF007.jpg	FF008.jpg
69.34069129999261	1.016743200016208	win	n/a	n/a	n/a	FF007.jpg	FF008.jpg
72.10745849995874	3.0013862000778317	decision	1.7827284999657422	left	F	FF009.jpg	FF010.jpg
75.65737529995386	1.016628000070341	win	n/a	n/a	n/a	FF009.jpg	FF010.jpg
78.42413890000898	3.001318799913861	decision	2.0337776999222115	right	F	FF011.jpg	FF012.jpg
81.9740662999684	1.0000507000368088	loss	n/a	n/a	n/a	FF011.jpg	FF012.jpg
86.82403799996246	3.0015035000396892	decision	2.0326496000634506	right	M	MF011.jpg	MF012.jpg
90.37400730000809	1.0167113000061363	loss	n/a	n/a	n/a	MF011.jpg	MF012.jpg
93.14060939999763	3.001161399995908	decision	1.5326471999287605	left	M	MF013.jpg	MF014.jpg
96.69068699993659	1.0165240000933409	win	n/a	n/a	n/a	MF013.jpg	MF014.jpg
103.65743589994963	3.00128590001259	decision	1.783422700013034	left	M	MF015.jpg	MF016.jpg
107.20735989999957	1.0000996999442577	win	n/a	n/a	n/a	MF015.jpg	MF016.jpg
109.95734279998578	3.00113250000868	decision	1.7837295000208542	right	F	FF013.jpg	FF014.jpg
113.50734070001636	1.0165135000133887	win	n/a	n/a	n/a	FF013.jpg	FF014.jpg
120.4740099000046	3.001844699960202	decision	2.033870599931106	right	M	MF017.jpg	MF018.jpg
124.02392219996545	1.0001178999664262	win	n/a	n/a	n/a	MF017.jpg	MF018.jpg
128.87394840002526	3.0018876999383792	decision	1.7833641999168321	right	F	FF015.jpg	FF016.jpg
132.4239051999757	1.0000469000078738	win	n/a	n/a	n/a	FF015.jpg	FF016.jpg
137.27393020002637	3.001415799953975	decision	1.532887200010009	left	M	MF019.jpg	MF020.jpg
