instrText,stimDoor,stimDoorLure,stimFace,stimFaceLure,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Func,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,Stim,Lure,Participant*,Age,date,expName,psychopyVersion,frameRate,
"In the earlier Feedback Games, you chose which doors contained a prize, and which peers liked you. 

You then saw positive or negative feedback (green check mark or red X) from the door or peer you selected.

You will now see a series of doors and peers, some of which you saw during the earlier Feedback Games, and some that you have never seen before.

Please press the spacebar to continue.",,,,,0,0,0,0,,,,,instrFunc,space,"In the earlier Feedback Games, you chose which doors contained a prize, and which peers liked you. 

You then saw positive or negative feedback (green check mark or red X) from the door or peer you selected.

You will now see a series of doors and peers, some of which you saw during the earlier Feedback Games, and some that you have never seen before.

Please press the spacebar to continue.",20.885913099977188,17.394764799973927,38.41096990008373,2024-03-19 12:11:17.096404,2024-03-19 12:11:38.107038,,,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
"For doors/peers that you remember selecting and getting feedback from, your job is to RECALL what feedback you received. 

Press '1' if you recall positive feedback. 

Press '2' if you recall negative feedback

Press the spacebar to continue.",,,,,0,1,1,1,,,,,instrFunc,space,"For doors/peers that you remember selecting and getting feedback from, your job is to RECALL what feedback you received. 

Press '1' if you recall positive feedback. 

Press '2' if you recall negative feedback

Press the spacebar to continue.",17.334264100063592,38.32227719994262,55.70891825994477,2024-03-19 12:11:38.107832,2024-03-19 12:11:55.484315,,,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
"For doors/peers that you don't remember getting feedback from, your job is to PREDICT what feedback you WOULD HAVE received.

Press '9' if you predict positive feedback.

Press '0' if you predict negative feedback. 

Please press the spacebar to continue.",,,,,0,2,2,2,,,,,instrFunc,space,"For doors/peers that you don't remember getting feedback from, your job is to PREDICT what feedback you WOULD HAVE received.

Press '9' if you predict positive feedback.

Press '0' if you predict negative feedback. 

Please press the spacebar to continue.",19.933653200045228,55.699047899921425,75.6899038599804,2024-03-19 12:11:55.485112,2024-03-19 12:12:15.464985,,,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
"This task is self-paced, and the prompts will always stay on the screen so that you know which buttons to press.

On the next screen we will show you what those prompts look like, so that you know exactly what to expect. 

You will start with either doors or peers, and then switch halfway through. 

Please press the spacebar to continue.",,,,,0,3,3,3,,,,,instrFunc,space,"This task is self-paced, and the prompts will always stay on the screen so that you know which buttons to press.

On the next screen we will show you what those prompts look like, so that you know exactly what to expect. 

You will start with either doors or peers, and then switch halfway through. 

Please press the spacebar to continue.",13.23638229991775,75.67614310001954,88.96327946009114,2024-03-19 12:12:15.465785,2024-03-19 12:12:28.741900,,,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,,,,,,,,,,,,,imgtextFunc,space,"Here is what the screen will look like while you make your ratings.
The green circles remind you to press 1 or 9 for positive feedback.
The red circles remind you to press 2 or 0 for negative feedback.









Please let the experimenter know if you have any questions.

Whenever you're ready, press the spacebar to start the task.",17.46677619998809,89.10174079996068,106.75587846001144,2024-03-19 12:12:28.752671,2024-03-19 12:12:46.405131,,,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD007.jpg,0,MF007.jpg,0,,,,,0,0,0,56,imgFunc,2,NA,9.167388699948788,106.74524129997008,116.03762497997377,2024-03-19 12:12:46.451795,2024-03-19 12:12:55.746252,MF007.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD023.jpg,0,FF023.jpg,0,,,,,0,1,1,22,imgFunc,2,NA,2.455027600051835,116.03326960001141,118.58940696006175,2024-03-19 12:12:55.756025,2024-03-19 12:12:58.313001,FF023.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD027.jpg,0,MF027.jpg,0,,,,,0,2,2,76,imgFunc,1,NA,2.824826700030826,118.59973239991814,121.52774615993258,2024-03-19 12:12:58.322782,2024-03-19 12:13:01.248706,MF027.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD038.jpg,0,MF038.jpg,0,,,,,0,3,3,87,imgFunc,1,NA,2.3794264000607654,121.51700399990659,123.9965778599726,2024-03-19 12:13:01.256475,2024-03-19 12:13:03.733349,MF038.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,L_DD501.jpg,1,L_FF501.jpg,1,,,,,0,4,4,40,imgFunc,2,NA,2.6425737000536174,124.00575409992598,126.75239746004809,2024-03-19 12:13:03.742142,2024-03-19 12:13:06.485665,L_FF501.jpg,1,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD029.jpg,0,MF029.jpg,0,,,,,0,5,5,78,imgFunc,2,NA,1.3085648999549448,126.75569929997437,128.17010976013262,2024-03-19 12:13:06.493434,2024-03-19 12:13:07.903300,MF029.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD030.jpg,0,MF030.jpg,0,,,,,0,6,6,79,imgFunc,1,NA,1.4669887999771163,128.17378599999938,129.73739876004402,2024-03-19 12:13:07.911068,2024-03-19 12:13:09.471020,MF030.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,L_DD506.jpg,1,L_FF506.jpg,1,,,,,0,7,7,45,imgFunc,2,NA,2.209262700052932,129.73526969994418,132.03288195992354,2024-03-19 12:13:09.478794,2024-03-19 12:13:11.772870,L_FF506.jpg,1,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD002.jpg,0,FF002.jpg,0,,,,,0,8,8,1,imgFunc,1,NA,1.2087300000712276,132.0395115999272,133.33636795985512,2024-03-19 12:13:11.780643,2024-03-19 12:13:13.073889,FF002.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD004.jpg,0,MF004.jpg,0,,,,,0,9,9,53,imgFunc,2,NA,1.5050369000528008,133.35152579995338,134.9584524600068,2024-03-19 12:13:13.083864,2024-03-19 12:13:14.691398,MF004.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD025.jpg,0,MF025.jpg,0,,,,,0,10,10,74,imgFunc,2,NA,2.0562506000278518,134.96027729997877,137.10869426012505,2024-03-19 12:13:14.699174,2024-03-19 12:13:16.843001,MF025.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD022.jpg,0,FF022.jpg,0,,,,,0,11,11,21,imgFunc,1,NA,1.7204697000561282,137.11199219990522,138.92629455996212,2024-03-19 12:13:16.850769,2024-03-19 12:13:18.661150,FF022.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD024.jpg,0,MF024.jpg,0,,,,,0,12,12,73,imgFunc,2,NA,1.7083287000423297,138.93181839992758,140.7449548599543,2024-03-19 12:13:18.668941,2024-03-19 12:13:20.478437,MF024.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,L_SD509.jpg,1,L_MF509.jpg,1,,,,,0,13,13,98,imgFunc,9,NA,5.736531600006856,140.7520086999284,146.58664226008113,2024-03-19 12:13:20.485418,2024-03-19 12:13:26.316267,L_MF509.jpg,1,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD010.jpg,0,FF010.jpg,0,,,,,0,14,14,9,imgFunc,2,NA,2.880183900007978,146.59994609991554,149.5943991598906,2024-03-19 12:13:26.326035,2024-03-19 12:13:29.318427,FF010.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD033.jpg,0,MF033.jpg,0,,,,,0,15,15,82,imgFunc,2,NA,1.6196587999584153,149.59685279999394,151.32745126006193,2024-03-19 12:13:29.326219,2024-03-19 12:13:31.052986,MF033.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD017.jpg,0,MF017.jpg,0,,,,,0,16,16,66,imgFunc,1,NA,2.8358116999734193,151.32455309992656,154.25655085989274,2024-03-19 12:13:31.059763,2024-03-19 12:13:33.988660,MF017.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD040.jpg,0,MF040.jpg,0,,,,,0,17,17,89,imgFunc,2,NA,2.0176370999542996,154.25492370000575,156.36842106003314,2024-03-19 12:13:33.996447,2024-03-19 12:13:36.106652,MF040.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD002.jpg,0,MF002.jpg,0,,,,,0,18,18,51,imgFunc,0,NA,3.0503848999505863,156.37368530000094,159.5214502599556,2024-03-19 12:13:36.114414,2024-03-19 12:13:39.259221,MF002.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,L_SD508.jpg,1,L_MF508.jpg,1,,,,,0,19,19,97,imgFunc,0,NA,1.4351760999998078,159.52532020001672,161.0550691600656,2024-03-19 12:13:39.267072,2024-03-19 12:13:40.793303,L_MF508.jpg,1,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD033.jpg,0,FF033.jpg,0,,,,,0,20,20,32,imgFunc,1,NA,3.819404299953021,161.06107729999349,164.97629826003686,2024-03-19 12:13:40.801077,2024-03-19 12:13:44.712741,FF033.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD001.jpg,0,MF001.jpg,0,,,,,0,21,21,50,imgFunc,9,NA,3.2734226000029594,164.9750597999664,168.34038465993945,2024-03-19 12:13:44.719519,2024-03-19 12:13:48.081643,MF001.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD020.jpg,0,FF020.jpg,0,,,,,0,22,22,19,imgFunc,1,NA,2.5485011999262497,168.34760129998904,170.9962029600283,2024-03-19 12:13:48.089417,2024-03-19 12:13:50.734662,FF020.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD010.jpg,0,MF010.jpg,0,,,,,0,23,23,59,imgFunc,2,NA,2.001819199998863,170.9983588999603,173.09000096004456,2024-03-19 12:13:50.744526,2024-03-19 12:13:52.835811,MF010.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD019.jpg,0,FF019.jpg,0,,,,,0,24,24,18,imgFunc,1,NA,1.3145821000216529,173.10185929993168,174.51379105995875,2024-03-19 12:13:52.843769,2024-03-19 12:13:54.253123,FF019.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD022.jpg,0,MF022.jpg,0,,,,,0,25,25,71,imgFunc,2,NA,1.4241864000214264,174.5201562999282,176.03482785995584,2024-03-19 12:13:54.259900,2024-03-19 12:13:55.771138,MF022.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD005.jpg,0,MF005.jpg,0,,,,,0,26,26,54,imgFunc,9,NA,3.124857599963434,176.03552149992902,179.250321059837,2024-03-19 12:13:55.777909,2024-03-19 12:13:58.989702,MF005.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD038.jpg,0,FF038.jpg,0,,,,,0,27,27,37,imgFunc,0,NA,1.9771175000350922,179.2552665999392,181.32001165987458,2024-03-19 12:13:58.996486,2024-03-19 12:14:01.057939,FF038.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD030.jpg,0,FF030.jpg,0,,,,,0,28,28,29,imgFunc,1,NA,3.364717199932784,181.32336789998226,184.7886654600734,2024-03-19 12:14:01.064717,2024-03-19 12:14:04.527081,FF030.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,L_DD503.jpg,1,L_FF503.jpg,1,,,,,0,29,29,42,imgFunc,2,NA,3.1380186999449506,184.7903299999889,188.02331686008256,2024-03-19 12:14:04.533859,2024-03-19 12:14:07.762776,L_FF503.jpg,1,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD035.jpg,0,FF035.jpg,0,,,,,0,30,30,34,imgFunc,2,NA,4.2147913000080734,188.02567379991524,192.32622896006797,2024-03-19 12:14:07.769547,2024-03-19 12:14:12.066074,FF035.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD032.jpg,0,MF032.jpg,0,,,,,0,31,31,81,imgFunc,0,NA,1.8999330999795347,192.33248599991202,194.32783855998423,2024-03-19 12:14:12.073846,2024-03-19 12:14:14.067054,MF032.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD026.jpg,0,FF026.jpg,0,,,,,0,32,32,25,imgFunc,0,NA,3.9747426999965683,194.32963069994003,198.39541575999465,2024-03-19 12:14:14.073829,2024-03-19 12:14:18.136402,FF026.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,L_DD504.jpg,1,L_FF504.jpg,1,,,,,0,33,33,43,imgFunc,1,NA,2.537741499952972,198.40634019998834,201.03803536004853,2024-03-19 12:14:18.143382,2024-03-19 12:14:20.771743,L_FF504.jpg,1,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD039.jpg,0,MF039.jpg,0,,,,,0,34,34,88,imgFunc,1,NA,1.2665742000099272,201.03741469990928,202.40052466001362,2024-03-19 12:14:20.778725,2024-03-19 12:14:22.139150,MF039.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD034.jpg,0,MF034.jpg,0,,,,,0,35,35,83,imgFunc,2,NA,1.1575979000190273,202.40261689992622,203.6501296600327,2024-03-19 12:14:22.146136,2024-03-19 12:14:23.390550,MF034.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,SD028.jpg,0,MF028.jpg,0,,,,,0,36,36,77,imgFunc,2,NA,1.002607800066471,203.65371440001763,204.75081866013352,2024-03-19 12:14:23.397332,2024-03-19 12:14:24.491202,MF028.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD021.jpg,0,FF021.jpg,0,,,,,0,37,37,20,imgFunc,9,NA,2.690314200008288,204.75804899993818,207.54001475998666,2024-03-19 12:14:24.497969,2024-03-19 12:14:27.276702,FF021.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
,DD040.jpg,0,FF040.jpg,0,,,,,0,38,38,39,imgFunc,0,NA,2.651661500101909,207.54067060002126,210.2886977599701,2024-03-19 12:14:27.283481,2024-03-19 12:14:30.028453,FF040.jpg,0,10886,40-69,2024_Mar_19_1211,Recall,2021.2.3,59.95088822132636,
